Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
97c9cbe2c3ac4c1902d9dffc98e6a80e6381175aa8a72a59d3368d31b5a0fe25,2016-10,Essex Police,Essex Police,,,No location,,,Suspect charged as part of another case
229ed473e314c731f3179a10e57a287ae236acdb21ba6d816e15343912b9b718,2016-10,Essex Police,Essex Police,0.058282,51.639270,On or near CATHERINE CLOSE,E01021783,Epping Forest 013D,Investigation complete; no suspect identified
3519ad9c9dc306f3645ca1b5e4dd5cdefc9fff36fea18da62055fb6a2ddb0966,2016-10,Essex Police,Essex Police,0.416847,51.689091,On or near JENNINGS PLACE,E01021602,Chelmsford 018B,Investigation complete; no suspect identified
fa89e73e34cbf45b82d2dbd5e98ae5fd94dafb13c6f91c29d966ac25ba80c5fa,2016-10,Essex Police,Essex Police,0.087030,51.772949,On or near HAMSTEL ROAD,E01021843,Harlow 004E,Investigation complete; no suspect identified
8b419f5ab7808f3983bb7cb69cf4fecc701fa889cb001a342ecab371fc91da6c,2016-10,Essex Police,Essex Police,0.087030,51.772949,On or near HAMSTEL ROAD,E01021843,Harlow 004E,Investigation complete; no suspect identified
acb425a554769be183d906e75e769ed7cacbbfbb0c73b78d4f3da109f86476a4,2016-10,Essex Police,Essex Police,0.087030,51.772949,On or near HAMSTEL ROAD,E01021843,Harlow 004E,Investigation complete; no suspect identified
73a4cdd8e3ee3e3d0ef56c2f601d303694bdacc5fdb23168ba1257b0d576a6eb,2016-10,Essex Police,Essex Police,0.087030,51.772949,On or near HAMSTEL ROAD,E01021843,Harlow 004E,Investigation complete; no suspect identified
549125d5162de6e692d79b947627cceecd027d7d0866c8c6eba41bc146177c84,2016-10,Essex Police,Essex Police,0.084778,51.763079,On or near HARBERTS ROAD,E01021872,Harlow 007E,Investigation complete; no suspect identified
56a3c2d881357fe17c21145adea18559a1973256c8dc3b24941fa85a510cb74e,2016-10,Essex Police,Essex Police,0.567412,51.519635,On or near Petrol Station,E01021501,Castle Point 011D,Investigation complete; no suspect identified
8c29dc47525177f8c496fde520f0f9f63f91b3998c113e20ac1d7eecd421c513,2016-10,Essex Police,Essex Police,0.526856,51.626988,On or near SOUTH HANNINGFIELD WAY,E01021595,Chelmsford 021C,Investigation complete; no suspect identified
07b9667f250e1ad9f59eb265e4914cebe98ce34a4454d421bd3839746bff8fd0,2016-10,Essex Police,Essex Police,1.021273,51.809391,On or near Police Station,E01021982,Tendring 011D,Investigation complete; no suspect identified
485babd44e7e963c33bd5fd9b9d965384aa80834111732b1331beacad6f1e0c0,2016-10,Essex Police,Essex Police,0.514754,51.569098,On or near HALSTOW WAY,E01021313,Basildon 018A,Investigation complete; no suspect identified
29ab02013a016ae1f495b526b041dad92c749b3bf57e367c918b0e3faadd0daf,2016-10,Essex Police,Essex Police,1.133145,51.799823,On or near CAMELLIA AVENUE,E01022023,Tendring 015A,Investigation complete; no suspect identified
4c15f8bada4ed185056b63b7e4213ab58b6755d64f15282c11a8f57d38dc8029,2016-10,Essex Police,Essex Police,0.332975,51.482662,On or near CRESTHILL AVENUE,E01015959,Thurrock 016C,Investigation complete; no suspect identified
cd12c3f3b3352ca391b3fbab02acfd646ea883e900c31d89e1620df9649e64c4,2016-10,Essex Police,Essex Police,0.609368,51.552255,On or near ENDWAY,E01021518,Castle Point 006B,Investigation complete; no suspect identified
5bcdd905cb00278825cc0e88d19c1f5f70b8156258a7962875c004e37dc4aa05,2016-10,Essex Police,Essex Police,0.113929,51.775651,On or near THE STOW,E01021845,Harlow 002B,Investigation complete; no suspect identified
