Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d543803220c22989072591aed1de2f76c14f08c6f79b4a4c74ac163e7dd76b86,2016-10,Dorset Police,Dorset Police,,,No location,,,Offender given conditional discharge
95995f412b9c4fa2ea8e22de28f6f741d7e72608a4ffe86f59eeef6f7cf46542,2016-10,Dorset Police,Dorset Police,-1.830591,50.725600,On or near GRASMERE ROAD,E01015272,Bournemouth 016A,Investigation complete; no suspect identified
18400acd31973ea5b72b2fa762974fbf62dc22521927e42fdf566c9f1bd7c735,2016-10,Dorset Police,Dorset Police,-2.461548,50.611400,On or near ILCHESTER ROAD,E01020573,Weymouth and Portland 005B,Investigation complete; no suspect identified
1d2651855c2da036a8fc5854705e3a30f417e7da8f343e643f37ac64b6166931,2016-10,Dorset Police,Dorset Police,-1.878674,50.736999,On or near LONSDALE ROAD,E01015346,Bournemouth 012B,Investigation complete; no suspect identified
8598acf4b6a67dc3577cdc7d96e07f6a87a0426c74077fb341d3b7ebcd7b13ea,2016-10,Dorset Police,Dorset Police,-2.002896,50.740659,On or near NORTHMEAD DRIVE,E01015418,Poole 006B,Investigation complete; no suspect identified
ff77121406109034793c3c42b87a81a4ffec8e978e47657bef790b08bc046b55,2016-10,Dorset Police,Dorset Police,-1.859580,50.758066,On or near DURWESTON CLOSE,E01015351,Bournemouth 004C,Investigation complete; no suspect identified
665579a264bdb479e892208c5de0f350a60f376b1e65f35758132c1a90ff6e74,2016-10,Dorset Police,Dorset Police,-1.779269,50.736368,On or near Nightclub,E01020368,Christchurch 006E,Investigation complete; no suspect identified
f09a39e64556357c2399fb319edce5ad11b98246038cad27350f09d626e160cd,2016-10,Dorset Police,Dorset Police,-1.811841,50.727253,On or near FRANKSTON ROAD,E01015365,Bournemouth 018D,Investigation complete; no suspect identified
ab526cca273b5ae854771ad90d0e8a331040408984c2105fb6a51ae5a06ed725,2016-10,Dorset Police,Dorset Police,-1.937429,50.703071,On or near MOUNT GRACE DRIVE,E01015459,Poole 017E,Investigation complete; no suspect identified
56a4d6522e8922826016e05cada569adafb4797f9375ceb1f640ea8bda3c6bc5,2016-10,Dorset Police,Dorset Police,-2.440199,50.710403,On or near FAIRFIELD ROAD,E01032645,West Dorset 009I,Investigation complete; no suspect identified
3e7c797b86e0cbb0dc71af02ea56624f1462b10fab76977b03977f2879ade5ac,2016-10,Dorset Police,Dorset Police,-1.845463,50.731097,On or near BOSCOMBE GROVE ROAD,E01015293,Bournemouth 015B,Investigation complete; no suspect identified
79231f8061c21eec219d477b50aea372ea51a6575166e83c7f4187d252febf0c,2016-10,Dorset Police,Dorset Police,-2.456849,50.647237,On or near CLAYTON CLOSE,E01020552,Weymouth and Portland 001B,Investigation complete; no suspect identified
defe792af8110f647f1cc9098671166a4955dbc9440c434f04a1a0c7a65a57f3,2016-10,Dorset Police,Dorset Police,-1.884033,50.735944,On or near NAIRN ROAD,E01015348,Bournemouth 012C,Investigation complete; no suspect identified
e073688ec4b412b4550fc60b28f93a9c027f7e0db9a016f19ae842dc4f6cee9d,2016-10,Dorset Police,Dorset Police,-2.108335,50.685609,On or near Parking Area,E01020485,Purbeck 003C,Investigation complete; no suspect identified
905bc251ab54ebfe70d7ca53e429ac5c19d0ff0e6ba9404f1128e49cdca476bc,2016-10,Dorset Police,Dorset Police,-1.864966,50.738873,On or near LINWOOD ROAD,E01015376,Bournemouth 013D,Investigation complete; no suspect identified
353660d543634f3f5e1b0c9538c35d516fae70105566d693a801a9cdceed48db,2016-10,Dorset Police,Dorset Police,-1.989184,50.712530,On or near SARUM STREET,E01032661,Poole 015H,Investigation complete; no suspect identified
e719dd69294d32d07e83264a0eef8f25b6bdbe3da56f7769d4f1e09e882910ef,2016-10,Dorset Police,Dorset Police,-1.817645,50.735724,On or near HAMBLEDON ROAD,E01015314,Bournemouth 011A,Investigation complete; no suspect identified
b935a8fd76277d87e99900e4cc7461d1198cdb4d5582b8453841e1ec57ee83f0,2016-10,Dorset Police,Dorset Police,-1.729433,50.733475,On or near CLIFF DRIVE,E01020355,Christchurch 007B,Investigation complete; no suspect identified
81ddfdaef90a28055f3fb8cb2327fe1cb36cd389c73c8c61601866b334008878,2016-10,Dorset Police,Dorset Police,-2.436807,50.712691,On or near Shopping Area,E01032644,West Dorset 009H,Investigation complete; no suspect identified
1baa37728bd140977973ba89d4bc9cbe6af25d3504df0057c82e28efab5bb03c,2016-10,Dorset Police,Dorset Police,-1.924844,50.726939,On or near VALE ROAD,E01015402,Poole 018A,Investigation complete; no suspect identified
a2dcc220d37939ee126543db3cfb4fe8f5dc03748e9e6843e6d12a32e5087625,2016-10,Dorset Police,Dorset Police,-1.910864,50.725194,On or near EAGLE ROAD,E01015386,Poole 009A,Investigation complete; no suspect identified
d439d126a799065de6efa9b2150e572a4d7fdbb85ade91bce119572428c70c89,2016-10,Dorset Police,Dorset Police,-1.947230,50.726187,On or near COURTENAY ROAD,E01015454,Poole 017C,Investigation complete; no suspect identified
8b117219763f93a9df1cf82e60df41a0c1ce60748a13bb34a48b1f8135b4ef04,2016-10,Dorset Police,Dorset Police,-2.454172,50.690763,On or near MONKTON HILL,E01020549,West Dorset 011D,Investigation complete; no suspect identified
c3b2d527cae07817cac8280bdecbb408070546097a9dbd699b684ebf50804dc9,2016-10,Dorset Police,Dorset Police,-1.978474,50.747689,On or near WAYTOWN CLOSE,E01015416,Poole 004E,Investigation complete; no suspect identified
ddbf26eed4531c4dce6b3c7115c69211ce64cba01aac1774274a4613218bf178,2016-10,Dorset Police,Dorset Police,-1.796056,50.730949,On or near SAXONBURY ROAD,E01015299,Bournemouth 020D,Investigation complete; no suspect identified
2c495fd9ab6e43e9ea51a6b5304c1c3c3b9995d42f5318220cc91b2ae8330a25,2016-10,Dorset Police,Dorset Police,-2.189344,50.674705,On or near BINDON LANE,E01020489,Purbeck 004A,Investigation complete; no suspect identified
bbbfa9cc15c1714f4bb5663c71acc41ca4b23bbc8e9b67280d1d9d3d8709f8bd,2016-10,Dorset Police,Dorset Police,-2.752737,50.747778,On or near THREAD MILL LANE,E01020498,West Dorset 006A,Investigation complete; no suspect identified
2cc7a7520b4f4be9ea577c5e50595897115694988e38caf7a8b490d6b77f4703,2016-10,Dorset Police,Dorset Police,-2.010484,50.955911,On or near Sports/Recreation Area,E01020397,East Dorset 001D,Investigation complete; no suspect identified
760a18668e3b68f5af440b66374ea7cad6b392d5ee8bda2685fd704b0bd85a2a,2016-10,Dorset Police,Dorset Police,-1.862410,50.740542,On or near ST ALBAN'S ROAD,E01015330,Bournemouth 010B,Investigation complete; no suspect identified
119629e125386834af532cdcdfaeeaaf5722492b718c8d973a76a812bf8c71a7,2016-10,Dorset Police,Dorset Police,-1.874138,50.721824,On or near FIR VALE ROAD,E01015283,Bournemouth 017A,Investigation complete; no suspect identified
cb8d0aa88aa4ffbf99a4bb615925b0f1e1b815a6216f60b92211b1997cb26382,2016-10,Dorset Police,Dorset Police,-1.878181,50.883658,On or near CORONATION ROAD,E01020420,East Dorset 002E,Investigation complete; no suspect identified
2ca714744b194031438662c8acabc38d30c93e756c2dca87ec8337cb43501c65,2016-10,Dorset Police,Dorset Police,-1.976443,50.784136,On or near Sports/Recreation Area,E01015432,Poole 001B,Investigation complete; no suspect identified
502ccf3fe3886133bfa52d14c3e704dc111382258e9be19d27ec5ab486cec256,2016-10,Dorset Police,Dorset Police,-1.865040,50.722911,On or near Nightclub,E01015285,Bournemouth 021A,Investigation complete; no suspect identified
04f2a055967852296ca4be82e17ed52c7196e5fdb56757b5c72608a11eb9cad3,2016-10,Dorset Police,Dorset Police,-1.845463,50.731097,On or near BOSCOMBE GROVE ROAD,E01015293,Bournemouth 015B,Investigation complete; no suspect identified
92e6384db859eb2b2de2caf8b5182507b381a0bae361f43d0c848b8dc96d1d2f,2016-10,Dorset Police,Dorset Police,-1.885532,50.719695,On or near COMMERCIAL ROAD,E01033285,Bournemouth 017G,Investigation complete; no suspect identified
1c98d502a584d9c5b5113cb9ccdc3fa78bdc22061a97888c096598c060ca4f11,2016-10,Dorset Police,Dorset Police,-2.447074,50.644091,On or near DAHLIA CLOSE,E01020551,Weymouth and Portland 001A,Investigation complete; no suspect identified
fe6e0de53126d1cbcf40b42c33e6457635e452a3e9a543350179a7374111e681,2016-10,Dorset Police,Dorset Police,-2.019517,50.768301,On or near BAKERS VIEW,E01020383,East Dorset 012B,Investigation complete; no suspect identified
e894d80f9fcdee595d9f075ee07de5924b190d516a6c5f82817dda66ac809647,2016-10,Dorset Police,Dorset Police,-1.938606,50.734420,On or near JACKSON ROAD,E01015438,Poole 008A,Investigation complete; no suspect identified
ef9b6f22cc1a43ee7272b0e2c7c155def651827165ce5e8cbf34a48c050da152,2016-10,Dorset Police,Dorset Police,-1.902632,50.753047,On or near HEATON ROAD,E01015336,Bournemouth 007B,Investigation complete; no suspect identified
b0372ebf6200eb9d95fa812d5c07e87b592b244cbed3a4f6ab23f551bd264606,2016-10,Dorset Police,Dorset Police,-1.854194,50.725614,On or near SPENCER ROAD,E01015290,Bournemouth 021D,Investigation complete; no suspect identified
1bbde40ba495fa22fa2987381fb61cccadd407f6e3ac3567d2c5188c740be5b8,2016-10,Dorset Police,Dorset Police,-1.757556,50.731613,On or near Parking Area,E01020362,Christchurch 007D,Investigation complete; no suspect identified
89aede438de24523d9ed66a1e8e657d037f7da91cb78b86bdbe3e4b1675393f5,2016-10,Dorset Police,Dorset Police,-2.532623,50.753875,On or near RURAL LANE,E01020529,West Dorset 004C,Investigation complete; no suspect identified
d722ce0b9885d39f3b84c392956de247cc19b53be20839087507f117925c2b37,2016-10,Dorset Police,Dorset Police,-1.836047,50.729330,On or near PORTMAN ROAD,E01015277,Bournemouth 016E,Investigation complete; no suspect identified
7aedb2e10ef15e86ea0fec0719f3270d23690c83a79ae46481843ba482a39e9b,2016-10,Dorset Police,Dorset Police,-1.885129,50.716502,On or near WEST CLIFF ROAD,E01015367,Bournemouth 024A,Investigation complete; no suspect identified
1b62ebb11761b60d1766b7deef904d9817b9978dc0dbce8fac66b3c11128dee9,2016-10,Dorset Police,Dorset Police,-1.881475,50.716418,On or near KERLEY ROAD,E01015367,Bournemouth 024A,Investigation complete; no suspect identified
2c20cbbe39ef81cfe9b1a06fab27e2d52c4429e48b947ad12e15486916f734b3,2016-10,Dorset Police,Dorset Police,-1.937536,50.729060,On or near Supermarket,E01015390,Poole 010A,Investigation complete; no suspect identified
13e8ce9dca00035f7e497035733691c6350e7bbf524050454cd1026f711b08e9,2016-10,Dorset Police,Dorset Police,-1.954741,50.724158,On or near OLD SCHOOL CLOSE,E01015456,Poole 011D,Investigation complete; no suspect identified
04324fb3ef8365583990e6823f94e26c1b2aa1447e687906b440045e008caa85,2016-10,Dorset Police,Dorset Police,-2.268293,51.034852,On or near NEWBURY,E01020443,North Dorset 001A,Investigation complete; no suspect identified
4d9f90df03b99ecd875e55893b54ec7216e2c075a2c7e3d5a1c4143f433d1195,2016-10,Dorset Police,Dorset Police,-1.914446,50.758056,On or near SPRINGWATER ROAD,E01015309,Bournemouth 005B,Investigation complete; no suspect identified
1db404e863747d794c1796c16f33dbda35b97b41b4f518b2c76277666f423fb1,2016-10,Dorset Police,Dorset Police,-1.855467,50.730867,On or near STEWART CLOSE,E01015288,Bournemouth 021B,Investigation complete; no suspect identified
aa171b17bd9e3179b78d04e007c855dd83d675c9462afef8f61af7f7780af90d,2016-10,Dorset Police,Dorset Police,-2.264645,50.897647,On or near SHILLINGSTONE LANE,E01020441,North Dorset 008D,Investigation complete; no suspect identified
136a16eb150d16ebb293063d8a14c7392255cd22f514c30c8dcc924c6085f261,2016-10,Dorset Police,Dorset Police,-1.914009,50.764251,On or near ZAMEK CLOSE,E01015304,Bournemouth 002B,Investigation complete; no suspect identified
fc30aad13fe9e9ec01af9c28bf20f812f4004c70cd564dd1704218045f066516,2016-10,Dorset Police,Dorset Police,-1.931521,50.753984,On or near Petrol Station,E01015308,Bournemouth 002C,Investigation complete; no suspect identified
ade872453a3d1af6d7d883f529bfb92496cb94b7a43820b12a031e5405e23904,2016-10,Dorset Police,Dorset Police,-1.746303,50.737308,On or near AIRFIELD WAY,E01020346,Christchurch 005A,Investigation complete; no suspect identified
18bcde875791b6df1eb240abb9499b5517d2457850f0e2835d4047e0240bb6b2,2016-10,Dorset Police,Dorset Police,-1.900140,50.711579,On or near CROSBY ROAD,E01015370,Bournemouth 024D,Investigation complete; no suspect identified
75d8ab28eb4fb60cb63a92bc28f06ec96aa39cc7a282874c3ece7b71ec59af52,2016-10,Dorset Police,Dorset Police,-1.882281,50.722732,On or near Parking Area,E01033242,Bournemouth 017F,Investigation complete; no suspect identified
a3cbd4942d115c808238fb63c3b6c587936aae5108862e69d9c3c07587bb3b71,2016-10,Dorset Police,Dorset Police,-2.640006,50.713245,On or near GARDEN CLOSE,E01020512,West Dorset 012A,Investigation complete; no suspect identified
cf477da8ecf9f7cc3af2b549078238c2f69556ee3f653f94df2df437b922ae9f,2016-10,Dorset Police,Dorset Police,-2.422363,50.895501,On or near FOSTERS HILL,E01020508,West Dorset 002B,Investigation complete; no suspect identified
b1bd81b8e77232b9bc91b38e2ed650bbb2d71f44f04c2d388606bd430fbd76e1,2016-10,Dorset Police,Dorset Police,-1.958423,50.693305,On or near Park/Open Space,E01020466,Purbeck 005A,Investigation complete; no suspect identified
093498c2a5cf5ab3268af4f73d4a5bde14f0a9a31cb8dd89e669b848604485ef,2016-10,Dorset Police,Dorset Police,-2.451091,50.710469,On or near MARIE ROAD,E01020527,West Dorset 009D,Investigation complete; no suspect identified
beac4166a841574cbd1b74255432185b1e5889ec44b9c280658ad5c5ac29cf34,2016-10,Dorset Police,Dorset Police,-1.965453,50.741445,On or near Parking Area,E01015407,Poole 005A,Investigation complete; no suspect identified
6e0caf1e013d6fad51b4913c0b0c20605e1eb3d43a16b327e644f80029522cde,2016-10,Dorset Police,Dorset Police,-1.858558,50.725394,On or near FRANCES ROAD,E01015290,Bournemouth 021D,Investigation complete; no suspect identified
28a50ee072a94125b973626df41abd549ea41867c445c812574e0d18f3c45173,2016-10,Dorset Police,Dorset Police,-1.864106,50.722379,On or near Further/Higher Educational Building,E01015285,Bournemouth 021A,Investigation complete; no suspect identified
ee80b0c333775b42c564c7074439216f0661fac63718ec297353f89d5a3ec7f4,2016-10,Dorset Police,Dorset Police,-1.972130,50.785628,On or near OAKLEY STRAIGHT,E01015432,Poole 001B,Investigation complete; no suspect identified
b78e2d3cfa226a743ac9391058dd5f575e05a95b5aa4c9ef0562a2940257d281,2016-10,Dorset Police,Dorset Police,-1.954646,50.720012,On or near SANDBANKS ROAD,E01015453,Poole 017B,Investigation complete; no suspect identified
