Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7ae57a7b4bd61fe28c7c297e08a44a7088a0f11ea6bbc2fcb36f1e26bd2c7c61,2016-10,Humberside Police,Humberside Police,-0.365652,53.735137,On or near ROSAMOND STREET,E01012889,Kingston upon Hull 030B,Investigation complete; no suspect identified
2de8e9e478316644ac45aab641bf10fd933bbfe914abef7edc0a077f4bbc5953,2016-10,Humberside Police,Humberside Police,-0.274062,53.768857,On or near WINCHESTER CLOSE,E01012825,Kingston upon Hull 010B,Investigation complete; no suspect identified
230d86cc3540bb208cfec3fafe9f0c24ecc07e924d28b21c536ac865d3454baf,2016-10,Humberside Police,Humberside Police,-0.361256,53.736291,On or near MARMADUKE STREET,E01012889,Kingston upon Hull 030B,Investigation complete; no suspect identified
2d8599d144650257f329bd2e835c41cc8b4196d4a8758baa2c3ae4ba4e1a98d5,2016-10,Humberside Police,Humberside Police,-0.363791,53.788516,On or near Supermarket,E01012768,Kingston upon Hull 005C,Investigation complete; no suspect identified
dd24e2c271f56ae1b0f376565c40bfd6805f0a8e868efd22c3017c7a95ae8b95,2016-10,Humberside Police,Humberside Police,-0.400116,53.757805,On or near DAYTON ROAD,E01012801,Kingston upon Hull 019E,Investigation complete; no suspect identified
5cd834ac459dfe8051658982c38131832dd1e7ef42520936c40369415f09b441,2016-10,Humberside Police,Humberside Police,-0.417018,53.779495,On or near BACON GARTH LANE,E01012963,East Riding of Yorkshire 025C,Investigation complete; no suspect identified
10d4b3f1d82444507322b5bf5adc2d61562f5398366924689c151332656b248f,2016-10,Humberside Police,Humberside Police,-0.117357,53.545938,On or near TALLERT WAY,E01013209,North East Lincolnshire 019D,Investigation complete; no suspect identified
dd43d3b26c2646a6754ca9a455dcc5ab4cf887d858935f2a7bb54f0d25d157ee,2016-10,Humberside Police,Humberside Police,-0.882786,53.703833,On or near ELM AVENUE,E01013001,East Riding of Yorkshire 040D,Investigation complete; no suspect identified
325e20671ab52494fdc3c2b39d08d61b4919b51c4b051366c7e361e72d0b5599,2016-10,Humberside Police,Humberside Police,-0.643074,53.569374,On or near CHERRY GROVE,E01013315,North Lincolnshire 014A,Investigation complete; no suspect identified
14f9a5b535e37789f54c74e5118ef3a6580f986bd5acc4855d15237d9f3eb66f,2016-10,Humberside Police,Humberside Police,-0.063449,53.569242,On or near STANLEY STREET,E01013140,North East Lincolnshire 006B,Investigation complete; no suspect identified
fb4cc8a17f0430aef6711048bd2750480e2e8b02e69654588597992257adac1d,2016-10,Humberside Police,Humberside Police,-0.343277,53.747801,On or near WRIGHT STREET,E01012851,Kingston upon Hull 029A,Investigation complete; no suspect identified
510cd6274ce3698969cdc27fc817ba818d24d4f0a2078f22feea2d8accc3e557,2016-10,Humberside Police,Humberside Police,-0.675161,53.607604,On or near EXMOOR AVENUE,E01013297,North Lincolnshire 007A,Investigation complete; no suspect identified
00232c647c363f96b5dcaad558eb94b79dfe5662d354eaafd164ef4e5eda103e,2016-10,Humberside Police,Humberside Police,-0.639169,53.572934,On or near BENNETT ROAD,E01013311,North Lincolnshire 015C,Investigation complete; no suspect identified
79b842d01f078fb2160f009c3939d62a98ad17cae169ec5a474ea26adb68f602,2016-10,Humberside Police,Humberside Police,-0.288191,53.782966,On or near EAST CARR ROAD,E01012824,Kingston upon Hull 010A,Investigation complete; no suspect identified
159f6350b6914541f6df113ee55c3a4b9c176b339ce307707d1cfbe15b7fdee1,2016-10,Humberside Police,Humberside Police,-0.682572,53.577321,On or near LYNMOUTH DRIVE,E01013279,North Lincolnshire 012A,Investigation complete; no suspect identified
0c98239dedbecc0d0dd1e5dd1283c4baf4f263b60163b67465b25bc62e74ced7,2016-10,Humberside Police,Humberside Police,-0.360808,53.737669,On or near WELLSTED STREET,E01012891,Kingston upon Hull 030C,Investigation complete; no suspect identified
a40ebc76f28d225594576ae289d851a377d82fa4f55c239d085675ea3dd038fe,2016-10,Humberside Police,Humberside Police,-0.656109,53.574977,On or near ASHBY ROAD,E01013316,North Lincolnshire 012C,Investigation complete; no suspect identified
e3de1c1bea3ecb0cc68f9e15f6a097adf89c4d4975099de52e75cbfadbf59260,2016-10,Humberside Police,Humberside Police,-0.307510,53.753630,On or near NEW BRIDGE ROAD,E01012900,Kingston upon Hull 022C,Investigation complete; no suspect identified
f3dc8ca61cca4d2f5c54f01956fce877acd57cc1a5be0d979852e4001acd4003,2016-10,Humberside Police,Humberside Police,-0.192453,53.794074,On or near THE GREEN,E01013031,East Riding of Yorkshire 021C,Investigation complete; no suspect identified
4b2d0448ef6923bdb598c82a2bea0ab35c2c311cc5787288ced6426367103d18,2016-10,Humberside Police,Humberside Police,-0.349148,53.754327,On or near HUDSON STREET,E01012857,Kingston upon Hull 024D,Investigation complete; no suspect identified
b5eb4d294d6e33356666a59a408e57e145bfb9d498fc36b6a8f21437f87e1c3b,2016-10,Humberside Police,Humberside Police,-0.194131,53.737673,On or near ADELIZA GARTH,E01013098,East Riding of Yorkshire 033B,Investigation complete; no suspect identified
e029ef0e610a56a64bdf2c50c36bc452a09459da6c192c9b37358849b0ee3dd8,2016-10,Humberside Police,Humberside Police,-0.365831,53.758664,On or near SALISBURY STREET,E01012762,Kingston upon Hull 018B,Investigation complete; no suspect identified
3cfb630ff56d46e321e75bf2c183522c6638f077ef5ac0144fa8725ee53fd12f,2016-10,Humberside Police,Humberside Police,-0.137705,53.552774,On or near YARDLEY WAY,E01013228,North East Lincolnshire 013D,Investigation complete; no suspect identified
775ac18ea5ef9328386e181b4e0b0699cf7c327d311a90ea093a7618fb958720,2016-10,Humberside Police,Humberside Police,-0.189652,54.083122,On or near Shopping Area,E01012948,East Riding of Yorkshire 005C,Investigation complete; no suspect identified
95b46dfa654add0010d9e334216fec6162f81645d2c4ce117c57cddd3a9bdcde,2016-10,Humberside Police,Humberside Police,-0.348807,53.793551,On or near Petrol Station,E01033105,Kingston upon Hull 001F,Investigation complete; no suspect identified
27d67c0008520c6ffbbc16813e8540440b00f648476fd8c6d6df397f60b8b1e0,2016-10,Humberside Police,Humberside Police,-0.031183,53.551850,On or near WENDOVER RISE,E01013132,North East Lincolnshire 014B,Investigation complete; no suspect identified
45476fc4f796aec076a7cf58657ea2d36fd2a99e578aee78ba31335751d26db5,2016-10,Humberside Police,Humberside Police,-0.164818,53.903251,On or near EBOR AVENUE,E01013051,East Riding of Yorkshire 012E,Investigation complete; no suspect identified
de53aa6af604f933164bd376fda1387b7031c93b1be0610e556cdc06f143b718,2016-10,Humberside Police,Humberside Police,-0.683745,53.603744,On or near WOODALE CLOSE,E01013289,North Lincolnshire 005C,Investigation complete; no suspect identified
2d4394f7208fb39eb2794e214cf5c0523b8578cfd4d62caafa86462061eadb08,2016-10,Humberside Police,Humberside Police,-0.340732,53.785062,On or near CLARONDALE,E01012829,Kingston upon Hull 006A,Investigation complete; no suspect identified
9be03e9ce01a21719de03aa0bf9bc0a38a2869bfebd48b29fa8aa03a14022737,2016-10,Humberside Police,Humberside Police,-0.340732,53.785062,On or near CLARONDALE,E01012829,Kingston upon Hull 006A,Investigation complete; no suspect identified
dd3b4101d128751ceaab15e431585c3f01b5f764c4fb0019a2d1217e344bce78,2016-10,Humberside Police,Humberside Police,-0.340732,53.785062,On or near CLARONDALE,E01012829,Kingston upon Hull 006A,Investigation complete; no suspect identified
a377317e414ed4856a6b27a3401c68638fd46087634aaee9254e19ead3e5f8f5,2016-10,Humberside Police,Humberside Police,-0.319832,53.758406,On or near ALSTON AVENUE,E01012806,Kingston upon Hull 016B,Investigation complete; no suspect identified
ac58b64fdd3ae86a8909a5a1fdb1e0e246c07c41e209c9c4d382652a8e992237,2016-10,Humberside Police,Humberside Police,-0.371368,53.781401,On or near 5TH AVENUE,E01012915,Kingston upon Hull 008E,Investigation complete; no suspect identified
5272e92d1ccecb78fb30a4ef55e7ec16924e9bffa6e6792badc7e012209fd02e,2016-10,Humberside Police,Humberside Police,-0.034765,53.550767,On or near THORNTON CRESCENT,E01013132,North East Lincolnshire 014B,Investigation complete; no suspect identified
55f15b3d82324fe58f5195cd7668e309da3fd540c5a7bc23e08ddc2138e25d5e,2016-10,Humberside Police,Humberside Police,-0.324482,53.765437,On or near MAYVILLE AVENUE,E01012817,Kingston upon Hull 016D,Investigation complete; no suspect identified
