Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2006ad8f75c51c9f7843a7eae2a0dde8ccff07d36056b223994206e4c313ad96,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.131418,52.073170,On or near NORWICH ROAD,E01029977,Ipswich 002E,Investigation complete; no suspect identified
a901f7251da0a0eae1ec7139f00786d7487a65a010c1ac0017ebfe756c0468e7,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.164003,52.052045,On or near COPROLITE STREET,E01033126,Ipswich 011F,Investigation complete; no suspect identified
622100c1b9abc61f1630d3f226d2f79653608dbf41aad38c23af370fa73ff503,2016-10,Suffolk Constabulary,Suffolk Constabulary,0.709206,52.244899,On or near PROSPECT ROW,E01030091,St Edmundsbury 006A,Investigation complete; no suspect identified
69b7611c370cbb8286ae872f6d4fbe5692567081c886ec762fd94b61d780b564,2016-10,Suffolk Constabulary,Suffolk Constabulary,0.628638,52.445952,On or near KNAPPERS WAY,E01029927,Forest Heath 001B,Investigation complete; no suspect identified
f51184d75a4436928678f70350abcc116c70e9d209f03de7296834fffd8e5adb,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.156397,52.047410,On or near BRICKFIELD CLOSE,E01033122,Ipswich 012F,Investigation complete; no suspect identified
b2fe0db2e16c81bca8785aa957bdd9ee8a4bde989398cd18343cab288ba57636,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.329336,51.962948,On or near HAVEN CLOSE,E01030171,Suffolk Coastal 012A,Investigation complete; no suspect identified
58101866d3d1b6f9844288216ab27bf8fb656c0d84c12acd8417e1f646d08091,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.155021,52.048167,On or near TURIN STREET,E01029968,Ipswich 012A,Investigation complete; no suspect identified
3096b2dbbbe704a3db6cc2f8c1c686c8f521008576e8fcc0caa37b78ac1f8b14,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.311536,52.014151,On or near BUCKLESHAM ROAD,E01030217,Suffolk Coastal 012E,Investigation complete; no suspect identified
c70b458059ef5b4b585e24813166d79ea65d5c0b59b0d1bc11864e59df0e9d9c,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.719957,52.462973,On or near OAKWOOD ROAD,E01030287,Waveney 008D,Investigation complete; no suspect identified
b5b058a1ea76b995fd5ea84f4ad949a1fd0b4fc2881e3723f7cd48826f6cb353,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.575811,52.187546,On or near FITCHES LANE,E01030152,Suffolk Coastal 004A,Investigation complete; no suspect identified
